Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Legal Issues in Business,Curtin University,180125,C,1442-911X,,https://www.informit.org/product-details/366/LIB/titles,4,
Les Cahiers Scientifiques du Transport,Association Francaise des Instituts de Transport et de Logistique,1507,C,1150-8809,,http://lib.ugent.be/en/catalog/ser01:000298340,4,
Library Management,Emerald Group Publishing,806,C,0143-5124,1758-7921,,4,Information Systems
Local Economy,Sage Publications,1402,C,0269-0942,1470-9325,,4,
Macquarie Journal of Business Law,"Macquarie University, Division of Law",180125,C,1449-0269,,http://www.heinonline.org/,4,
Macquarie Law Journal,"Macquarie University, Division of Law",180125,C,1445-386X,,http://www.heinonline.org/,4,
Macroeconomics and Finance in Emerging Market Economies,Taylor & Francis,1401,C,1752-0843,1752-0851,,4,
Malayan Law Journal,LexisNexis,180125,C,0025-1283,0217-4189,,4,
Malaysian Journal of Economic Studies,Malaysian Economic Association,1402,C,1511-4554,,,4,
Management & Organizational History,Sage Publications,1503,C,1744-9359,1744-9367,,4,Education
Management Accounting Quarterly,"Institute of Management Accountants, Inc.",1501,C,1528-5359,,,4,
Management and Accounting Review,Universiti Teknologi MARA,1501,C,1675-4077,,,4,
Management and Labour Studies,Sage Publications,1503,C,0258-042X,2321-0710,,4,Education
Management Control,Franco Angeli,1501,C,2239-0391,2239-4397,,4,
Management of Environmental Quality,Emerald Group Publishing,1599,C,1477-7835,,,4,
Management Research Review,Emerald Group Publishing,1503,C,2040-8269,,,4,Education
Management Research: The Journal of the Iberoamerican Academy of Management,Emerald Group Publishing,1503,C,1536-5433,,,4,Education
Management: Journal of Contemporary Management Issues,University of Split,1503,C,1331-0194,1846-3363,,4,Education
Manager: The British journal of administrative management,Industry Qualifications,1503,C,1746-1278,,,4,Education
Manchester Journal of International Economic Law,ElectronicPublications,180125,C,1742-3945,,http://www.heinonline.org/,4,
Margin: The journal of applied economic research,Sage Publications,1402,C,0973-8010,0973-8029,http://mar.sagepub.com/,4,
Marketing Bulletin,Massey University,1505,C,1176-645X,,,4,
Marketing Education Review,Taylor & Francis Online,1505,C,1052-8008,2153-9987,http://www.tandfonline.com/mmer,4,
Marketing Health Services,American Marketing Association,1505,C,1094-1304,,http://www.ebscohost.com/,4,
Mathematical Methods in Economics and Finance,Universite Ca Foscari Venezia,1502,C,1971-6419,1971-3878,,4,
Mathematics and Financial Economics,Springer International Publishing,1402,C,1862-9679,1862-9660,http://www.springerlink.com/,4,
Media and Arts Law Review,LexisNexis,180125,C,1325-1570,,http://www.law.unimelb.edu.au/,4,
Medical Law International,Sage Publications,180125,C,0968-5332,2047-9441,,4,
Metron,Springer International Publishing,104,C,0026-1424,2281-695X,,4,
Middle East Business and Economic Review,Association for Middle East Economic Research,1402,C,1035-3704,,http://www.proquest.co.uk/en-UK/,4,
Middle East Development Journal,Taylor & Francis Online,1499,C,1793-8120,1793-8171,,4,
Mineral Economics,Springer International Publishing,1499,C,2191-2203,2191-2211,,4,
Model Assisted Statistics and Applications,IOS Press,104,C,1574-1699,1875-9068,,4,
Monetary and Economic Studies,Bank of Japan's Institute for Monetary and Economic Studies (IMES),1402,C,0288-8432,1348-7787,http://www.imes.boj.or.jp/english/publication/mes/fmes.html,4,
Money Affairs,Centre for Latin American Monetary Studies (CEMLA),1402,C,0187-7615,0187-7615,http://www.cemla.org/money-affairs.html,4,
Monte Carlo Methods and Applications,De Gruyter ,104,C,,1569-3961,,4,
Mustang Journal of Accounting and Finance,Mustang Journals,1501,C,1949-1794,1949-1786,,4,
National Economic Review,National Institute of Economic & Industry Research ,1402,C,0813-9474,,,4,
Negotiation and Conflict Management Research,Wiley-Blackwell Publishing,1503,C,1750-4708,1750-4716,,4,Education
Netnomics,Springer International Publishing,1499,C,1385-9587,1573-7071,http://www.springerlink.com/,4,
New England Journal of Entrepreneurship,Emerald Group Publishing,1503,C,1550-333X,2574-8904,,4,Education
New Law Journal,LexisNexis,180125,C,0306-6479,,http://www.newlawjournal.co.uk/,4,
New Perspectives on Political Economy,Liberalni Institut,1402,C,1801-0938,,,4,
New York Economic Review,New York State Economics Association,1402,C,1090-5693,,http://www.nyecon.net/,4,
New Zealand Journal of Human Resources Management,Human Resources Institute of New Zealand,1503,C,1175-5407,1175-5407,http://www.nzjhrm.co.nz,4,Education
New Zealand Population Review,Population Association of New Zealand,1503,C,0111-199X,,,4,Education
New Zealand Yearbook of International Law,University of Canterbury,180105,C,1176-6417,,,4,
Nordic Journal of Commercial Law,Aalborg University,180125,C,1459-9686,,,4,
Nordic Journal of Political Economy,Institutt for Samfunnsforskning,1402,C,0345-8555,,,4,
North Carolina Banking Institute Journal,University of North Carolina School of Law,180125,C,1096-7249,,,4,
Northeastern Journal of Agricultural and Resource Economics,University of Minnesota Department of Applied Economics,1499,C,0899-367X,,http://ageconsearch.umn.edu/handle/36506,4,
Northern Economic Review,"Centre for Urban and Regional Development Studies, University of Newcastle, UK",1402,C,0262-0383,,,4,
Norton Journal of Bankruptcy Law and Practice,Thomson Reuters,180105,C,1059-048X,,,4,
Nova Economia: the journal of the economics department at UFMG,"Universidade Federal de Minas Gerais, Department of Economics, Brasil",1402,C,0103-6351,1980-5381,http://www.face.ufmg.br/novaeconomia/eng/,4,
NYU Journal of Law and Business,New York University School of Law,180125,C,1558-5778,,http://heinonline.org/,4,
"Oil, Gas and Energy Quarterly",Matthew Bender / LexisNexis,180125,C,1096-9195,,,4,
OPEC Energy Review,Wiley-Blackwell Publishing,1402,C,1753-0229,1753-0237,,4,
Operational Research,Springer International Publishing,1503,C,1109-2858,1866-1505,,4,Education
Operations and Supply Chain Management,Operations and Supply Chain Management Forum,1507,C,1979-3561,1979-3871,,4,
Operations Management Research,Springer International Publishing,1503,C,1936-9735,1936-9743,http://www.springerlink.com/,4,Education
Opsearch,Springer International Publishing,1503,C,0030-3887,0975-0320,,4,Education
Organization Development Journal,International Society for Organization Development and Change,1503,C,0889-6402,,,4,Education
Organization Management Journal,Taylor & Francis Online,1503,C,1541-6518,,,4,Education
Otago Law Review,University of Otago,180125,C,0078-6918,,,4,
Pacific Economic Bulletin,Australian National University,1402,C,0817-8038,,http://peb.anu.edu.au/,4,
Pacific Rim Property Research Journal,Taylor & Francis Online,1504,C,1444-5921,2201-6716,,4,
Pakistan Development Review,Pakistan Institute of Development Economics,1402,C,0030-9729,,http://cje.oxfordjournals.org/content/18/2/local/back-matter.pdf,4,
Pakistan Economic and Social Review,"Lahore University, Department of Economics",1402,C,1011-002X,2224-4174,http://pu.edu.pk/home/journal/7/,4,
Pakistan Journal of Applied Economics,University of Karachi,1402,C,0254-9204,,,4,
Pakistan Journal of Statistics,Pakistan Journal of Statistics,104,C,1012-9367,,http://www.pakjs.com/,4,
Pasos. Journal of Tourism and Cultural Heritage,"The Institute for Social and Tourism Research of University of La Laguna, Portugal",1506,C,1695-7121,,http://www.pasosonline.org/en/,4,
"Peace Economics, Peace Science and Public Policy",De Gruyter ,1499,C,1554-8597,1079-2457,,4,
Pennsylvania Economic Review,Pennsylvania Economic Association,1402,C,1531-0949,,,4,
Pepperdine Law Review,Pepperdine University School of Law,180125,C,0092-430X,,http://law.pepperdine.edu/law-review/,4,
Performance Measurement and Metrics,Emerald Group Publishing,1503,C,1467-8047,1758-6925,,4,Education
"Perspectives of Innovations, Economics & Business",Prague Development Center,1499,C,1804-0519,,,4,
Perspectives on Work,University of Illinois Press,1503,C,1534-9276,1534-9276,http://www.press.uillinois.edu/journals/pow.html,4,Education
Petroleum Accounting and Financial Management Journal,Institute of Petroleum Accounting,1501,C,1554-2904,,http://www.ipa.unt.edu/journal.php,4,
Philippine Journal of Labor and Industrial Relations,"University of the Philippines, School of Labor and Industrial Relations",1503,C,0115-6373,0115-6373,http://www.solair.upd.edu.ph/call%20for%20papers.html,4,Education
Philippine Review of Economics,University of the Phillipines,1499,C,1655-1516,,http://pre.econ.upd.edu.ph/index.php/pre,4,
Philosophy of Management,Springer International Publishing,1503,C,1740-3812,2052-9597,http://www.managementphilosophers.com/,4,Education
Pittsburgh Tax Review,University of Pittsburgh School of Law,180125,C,1932-1821,,,4,
Portuguese Economic Journal,Springer International Publishing,1402,C,1617-982X,1617-9838,http://www.springerlink.com/,4,
Prague Economic Papers,"University of Economics, Prague",1402,C,1210-0455,2336-730X,,4,
Problems of Development / Problemas del Desarrollo,Elsevier,1402,C,0301-7036,,,4,
Progress in Development Studies,Sage Publications,1402,C,1464-9934,1477-027X,http://pdj.sagepub.com/,4,
Public Budgeting & Finance,Wiley-Blackwell Publishing,1402,C,0275-1100,1540-5850,,4,
Public Policy Research,Wiley-Blackwell Publishing,1499,C,1744-5396,,,4,
Publishing Research Quarterly,Springer International Publishing,1503,C,1053-8801,1936-4792,,4,Education
Quarterly Journal of Electronic Commerce,Information Age Pub.,806,C,1528-3526,1528-3526,http://www.qjec.org/,4,Information Systems
Queensland Review,Cambridge University Press,1503,C,1321-8166,,https://search.informit.com.au/browseJournalTitle;issn=1321-8166;res=IELLCC,4,Education
Quest,Taylor & Francis Online,1504,C,0033-6297,1543-2750,,4,
QUT Law Review,Queensland University of Technology,180125,C,1445-6230,1445-6249,,4,
Reading in Political Economy,,1402,C,0305-814X,0079-9874,,4,
Real Estate Law Journal,"Warren, Gorham & Lamont",180125,C,0048-6868,,http://legalsolutions.thomsonreuters.com/,4,
Real Estate Taxation,Thomson Reuters,180125,C,1538-3792,,,4,
"Real Property, Trust and Estate Law Journal",American Bar Association,180125,C,0034-0855,1540-8469,https://www.jstor.org/journal/reaprotruestlawj,4,
Records Management Journal,Emerald Group Publishing,806,C,0956-5698,,,4,Information Systems
Reflets et Perspectives de la Vie Economique,De Boeck Superior,1402,C,0034-2971,1782-1509,https://www.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique.htm,4,
Research Evaluation,Oxford University Press,1503,C,0958-2029,1471-5449,http://rev.oxfordjournals.org/,4,Education
Research in Accounting in Emerging Economies,Emerald Group Publishing,1501,C,1479-3563,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1479-3563,4,
Research in Consumer Behavior: a research annual,Emerald Group Publishing,1505,C,0885-2111,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=0885-2111,4,
Research in Finance,Elsevier,1502,C,0196-3821,0882-3138,,4,
Research in Financial Services,Elsevier,1502,C,1052-7788,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1052-7788,4,
Research in the History of Economic Thought and Methodology,Emerald Group Publishing,1402,C,0743-4154,,http://www.emeraldinsight.com/,4,
Research in Transportation Business & Management,Elsevier,1507,C,2210-5395,,,4,
Rethinking Marxism,Taylor & Francis Online,1499,C,0893-5696,1475-8059,http://www.tandfonline.com/rrmx,4,
Review of African Political Economy,Taylor & Francis Online,1402,C,0305-6244,1740-1720,,4,
Review of Business Information Systems,The Clute Institute,806,C,,2157-9547â€Ž,,4,Information Systems
Review of Economic and Business Studies,Sciendo,1402,C,1843-763X,2068-7249,,4,
Review of Economics (Jahrbuch fur Wirtschaftswissenschaften),De Gruyter ,1402,C,,2366-035X,,4,
Review of International Business and Strategy,Emerald Group Publishing,1503,C,2059-6014,,,4,Education
Review of International Organizations,Springer International Publishing,1503,C,1559-7431,1559-744X,http://www.springerlink.com/content/1559-7431,4,Education
Review of Islamic Economics,International Association of Islamic Economics and the Islamic Foundation,1402,C,0962-2055,,http://www.islamic-foundation.org.uk/User/Journals.aspx?id=21,4,
Review of Keynesian Economics,Edward Elgar Publishing,1402,C,2049-5323,2049-5331,,4,
Review of Marketing and Agricultural Economics,Australian Agricultural Economics Society,1499,C,0034-6616,0034-3409,,4,
Review of Marketing Science,De Gruyter,1505,C,2194-5985,1546-5616,,4,
Review of Middle East Economics and Finance,De Gruyter ,1402,C,1475-3685,1475-3693,,4,
Review of Regional Studies,Southern Regional Science Association,1503,C,1553-0892,0048-749X,,4,Education
Review on Economic Cycles,The International Association of Economic Cycles,1402,C,1578-8091,,http://www.usc.es/economet/cycles.htm,4,
Revista de Economia,Universidade Federal do Parana,1401,C,0556-5782,2316-9397,,4,
Revista Portuguesa de Marketing,IPAM Lab,1505,C,0873-2949,,http://www.rpm.pt/,4,
Revue de l'OFCE,CAIRN International,1402,C,1265-9576,1777-5647,,4,
Richmond Journal of Global Law and Business,University of Richmond,180125,C,1933-7000,,http://heinonline.org/,4,
Rikkyo Economic Review,Economic Society of Rikkyo University,1402,C,0035-5356,,,4,
Risk Management,Springer International Publishing,1503,C,1460-3799,1743-4637,,4,Education
Risk Management and Insurance Review,Wiley-Blackwell Publishing,1502,C,1098-1616,1540-6296,,4,
Romanian Economic Business Review,Romanian-American University,1499,C,1842-2497,2344-4843,,4,
Romanian Journal of Economic Forecasting,Institute for Economic Forecasting (IEF),1403,C,1582-6163,2537-6071,,4,
